Layer Name,Layer Type,Output Shape,Params,Connected to
input_1,InputLayer,"[(None, 256, 256, 3)]",0,
sequential_2,Sequential,"(None, 128, 128, 64)",3072,input_1[0][0]
sequential_3,Sequential,"(None, 64, 64, 128)",131584,Sequential_2[0][0]
sequential_4,Sequential,"(None, 32, 32, 256)",525312,Sequential_3[0][0] 
sequential_5,Sequential,"(None, 16, 16, 512)",2099200,Sequential_4[0][0] 
sequential_6,Sequential,"(None, 8, 8, 512)",4196352,Sequential_5[0][0]
sequential_7,Sequential,"(None, 4, 4, 512)",4196352,Sequential_6[0][0]
sequential_8,Sequential,"(None, 2, 2, 512)",4196352,Sequential_7[0][0]
sequential_9,Sequential,"(None, 1, 1, 512)",4196352,Sequential_8[0][0]
sequential_10,Sequential,"(None, 2, 2, 512)",4196352,Sequential_9[0][0]
concatenate,Concatenate,"(None, 2, 2, 1024)",0,Sequential_10[0][0]; Sequential_8[0][0]
sequential_11,Sequential,"(None, 4, 4, 512)",8390656,Concatenate[0][0]
concatenate_1,Concatenate,"(None, 4, 4, 1024)",0,Sequential_11[0][0]; Sequential_7[0][0]
sequential_12,Sequential,"(None, 8, 8, 512)",8390656,Concatenate_1[0][0]
concatenate_2,Concatenate,"(None, 8, 8, 1024)",0,Sequential_12[0][0]; Sequential_6[0][0]
sequential_13,Sequential,"(None, 16, 16, 512)",8390656,Concatenate_2[0][0]
concatenate_3,Concatenate,"(None, 16, 16, 1024)",0,Sequential_13[0][0]; Sequential_5[0][0]
sequential_14,Sequential,"(None, 32, 32, 256)",4195328,Concatenate_3[0][0]
concatenate_4,Concatenate,"(None, 32, 32, 512)",0,Sequential_14[0][0]; Sequential_4[0][0]
sequential_15,Sequential,"(None, 64, 64, 128)",1049088,Concatenate_4[0][0]
concatenate_5,Concatenate,"(None, 64, 64, 256)",0,Sequential_15[0][0]; Sequential_3[0][0]
sequential_16,Sequential,"(None, 128, 128, 64)",262400,Concatenate_5[0][0]
concatenate_6,Concatenate,"(None, 128, 128, 128)",0,Sequential_16[0][0]; Sequential_2[0][0]
conv2d_transpose_8,Conv2DTranspose,"(None, 256, 256, 3)",6147,Concatenate_6[0][0]
